INFO 2024-09-06 14:24:56,980 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-06 14:24:57,033 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/utils/timesince.py first seen with mtime 1725507325.2931182
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_opcode.cpython-312-darwin.so first seen with mtime 1725561142.6753793
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/urls/resolvers.py first seen with mtime 1725507325.2892325
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_heapq.cpython-312-darwin.so first seen with mtime 1725561142.521174
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/concurrent/futures/thread.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/expressions.py first seen with mtime 1725507325.2691507
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/admin/checks.py first seen with mtime 1725507324.910841
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/template/loaders/__init__.py first seen with mtime 1725507325.28653
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/admin/templatetags/admin_urls.py first seen with mtime 1725507324.9788733
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/files/locks.py first seen with mtime 1725507325.2518387
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/forms/utils.py first seen with mtime 1725507325.2744367
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/sql/where.py first seen with mtime 1725507325.2731729
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/admin/utils.py first seen with mtime 1725507324.9119956
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lzma.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/wsgiref/headers.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/sqlparse/filters/output.py first seen with mtime 1715738912.7247872
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1725507325.0645938
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/platform.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/handlers.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/sqlparse/sql.py first seen with mtime 1715738912.723792
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/http/cookie.py first seen with mtime 1725507325.2831156
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/staggered.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/fields/mixins.py first seen with mtime 1725507325.2706635
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/backends/base/schema.py first seen with mtime 1725507325.261266
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/_parseaddr.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/sql/datastructures.py first seen with mtime 1725507325.2727203
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/sessions/backends/base.py first seen with mtime 1725507325.1993115
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/views/generic/edit.py first seen with mtime 1725507325.2959678
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_markupbase.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/query.py first seen with mtime 1725507325.2698002
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/backends/sqlite3/creation.py first seen with mtime 1725507325.265494
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/forms/boundfield.py first seen with mtime 1725507325.273732
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/mimetypes.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/fields/proxy.py first seen with mtime 1725507325.2707503
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/checks/messages.py first seen with mtime 1725507325.2505417
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1725507325.2680304
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/mime/text.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/sqlparse/engine/filter_stack.py first seen with mtime 1715738912.7241726
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/migrations/operations/base.py first seen with mtime 1725507325.267883
DEBUG 2024-09-06 14:24:57,034 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/migrations/state.py first seen with mtime 1725507325.26747
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/urls/conf.py first seen with mtime 1725507325.2889235
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/http/__init__.py first seen with mtime 1725507325.2830276
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/base64mime.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/lookups.py first seen with mtime 1725507325.2694023
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/handlers/exception.py first seen with mtime 1725507325.2533338
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/asgiref/local.py first seen with mtime 1715738912.7454197
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/unix_events.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/template/autoreload.py first seen with mtime 1725507325.2845383
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/checks/templates.py first seen with mtime 1725507325.250856
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/__init__.py first seen with mtime 1725507325.259467
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/views/decorators/cache.py first seen with mtime 1725507325.2948217
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/sqlparse/engine/statement_splitter.py first seen with mtime 1715738912.7243836
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/checks/async_checks.py first seen with mtime 1725507325.2502122
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/constants.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/parse.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/utils/ipv6.py first seen with mtime 1725507325.291999
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/encoders.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/template/exceptions.py first seen with mtime 1725507325.285328
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/checks/caches.py first seen with mtime 1725507325.2502973
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/messages/apps.py first seen with mtime 1725507325.1545305
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/graphlib.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/wsgiref/__init__.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_socket.cpython-312-darwin.so first seen with mtime 1725561142.8982918
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/statistics.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/utils/translation/__init__.py first seen with mtime 1725507325.293644
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/admin/sites.py first seen with mtime 1725507324.9117398
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/zoneinfo/__init__.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/bisect.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/decimal.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/dispatch/dispatcher.py first seen with mtime 1725507325.2733805
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/contenttypes/checks.py first seen with mtime 1725507325.0397015
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/auth/models.py first seen with mtime 1725507325.0081856
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1725507325.198599
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/lib/python3.12/site-packages/sqlparse/filters/__init__.py first seen with mtime 1715738912.7245007
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/__init__.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,035 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_scproxy.cpython-312-darwin.so first seen with mtime 1725561142.80765
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/opcode.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/scanner.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/abc.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/checks/registry.py first seen with mtime 1725507325.250774
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/functions/comparison.py first seen with mtime 1725507325.2716653
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/backends/base/creation.py first seen with mtime 1725507325.2606223
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/checks/security/__init__.py first seen with mtime 1725507325.251215
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_ssl.cpython-312-darwin.so first seen with mtime 1725561142.9478998
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1725507325.2464478
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/fields/related.py first seen with mtime 1725507325.2710314
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/views/decorators/csrf.py first seen with mtime 1725507325.2950892
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_random.cpython-312-darwin.so first seen with mtime 1725561142.7856405
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1725507325.0395234
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/backends/sqlite3/__init__.py first seen with mtime 1725507325.2649837
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/management/commands/runserver.py first seen with mtime 1725507325.2572463
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/dis.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/admin/helpers.py first seen with mtime 1725507324.911294
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/auth/forms.py first seen with mtime 1725507325.007814
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/queue.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/sysconfig.py first seen with mtime 1725561143.7790754
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/contenttypes/fields.py first seen with mtime 1725507325.0398242
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/asgiref/current_thread_executor.py first seen with mtime 1715738912.7453175
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/management/base.py first seen with mtime 1725507325.2551496
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/quopri.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_bz2.cpython-312-darwin.so first seen with mtime 1725561142.0999088
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/serializers/json.py first seen with mtime 1725507325.258749
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1725507324.979128
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/struct.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/mail/__init__.py first seen with mtime 1725507325.2535446
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/fields/json.py first seen with mtime 1725507325.2705717
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/enums.py first seen with mtime 1725507325.269005
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ipaddress.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/backends/sqlite3/schema.py first seen with mtime 1725507325.2659042
DEBUG 2024-09-06 14:24:57,036 autoreload File /Users/bcariddi/playground/django-eliminator/eliminator/picks/signals.py first seen with mtime 1725600523.8370488
DEBUG 2024-09-06 14:24:57,036 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/files/storage/memory.py first seen with mtime 1725507325.252789
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/typing.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/cookies.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/serializers/base.py first seen with mtime 1725507325.2586598
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/base64.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/utils/module_loading.py first seen with mtime 1725507325.2924528
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/messagebox.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/utils/_os.py first seen with mtime 1725507325.2894807
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/utils/dates.py first seen with mtime 1725507325.2905273
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/__init__.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/_policybase.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/fields/generated.py first seen with mtime 1725507325.2704659
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/migrations/operations/models.py first seen with mtime 1725507325.2681367
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/views/generic/list.py first seen with mtime 1725507325.2960532
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/multiprocessing/__init__.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/asyncio/__init__.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/sqlparse/engine/grouping.py first seen with mtime 1715738912.7242832
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/encodings/utf_8.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/wsgiref/util.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/tkinter/simpledialog.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/conf/__init__.py first seen with mtime 1725507324.8419654
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/core/paginator.py first seen with mtime 1725507325.2485542
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/views/decorators/__init__.py first seen with mtime 1725507325.29473
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/forms/widgets.py first seen with mtime 1725507325.274554
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/migrations/operations/special.py first seen with mtime 1725507325.2682393
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/token.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/db/models/deletion.py first seen with mtime 1725507325.2689168
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/shortcuts.py first seen with mtime 1725507324.8413665
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/traceback.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/forms/forms.py first seen with mtime 1725507325.2740188
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/parser.py first seen with mtime 1722971329.0
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/template/loaders/filesystem.py first seen with mtime 1725507325.2868798
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/lib/python3.12/site-packages/django/__init__.py first seen with mtime 1725507324.8410506
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/array.cpython-312-darwin.so first seen with mtime 1725561143.3371499
DEBUG 2024-09-06 14:24:57,037 autoreload File /opt/homebrew/Cellar/python@3.12/3.12.5/Frameworks/Python.framework/Versions/3.12/lib/python3.12/wsgiref/simple_server.py first seen with mtime 1722971329.0
